conditionFile,pair_nr,word,imageFromFolder,pnn,fs,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions_for_training.started,instructions_for_training.stopped,text.started,text.stopped,image.started,image.stopped,image2.started,image2.stopped,text2.started,text2.stopped,text_2.started,text_2.stopped,Distraction_text.started,Distraction_text.stopped,Instructions.started,Instructions.stopped,Word_cue.started,Word_cue.stopped,Q1.started,Q1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
conditionsBatch1.csv,2,Derivata,brain2.jpg,neutral,face,0,0,0,0,0,0,0,1,,,,,9.37889239998185,None,15.509863299987046,18.009625899983803,19.050874399981694,21.558852799993474,22.526118199981283,25.024885599996196,22.526118199981283,25.024885599996196,26.525094599986915,None,,,,,,,,,,,,,123,001,2020_Dec_09_1401,DecodingEmotions,2020.2.8,60.02909010542812,
conditionsBatch1.csv,1,Paradox,brain1.jpg,Positive,Scene,0,0,0,0,0,1,1,0,,,,,,,30.42394969999441,32.92303050000919,33.92376269999659,36.42229039999074,37.423291999992216,39.93850089999614,37.423291999992216,39.93850089999614,41.42254410000169,None,,,,,,,,,,,,,123,001,2020_Dec_09_1401,DecodingEmotions,2020.2.8,60.02909010542812,
conditionsBatch1.csv,3,Carthago,smokingclown.jpg,negative,face,0,0,0,0,0,2,2,2,,,,,,,45.454215899982955,47.953552999999374,48.95409690000815,51.452896900009364,52.453618300001835,54.95227340000565,52.453618300001835,54.95227340000565,56.452839100005804,None,,,,,,,,,,,,,123,001,2020_Dec_09_1401,DecodingEmotions,2020.2.8,60.02909010542812,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.40251949999947,None,66.40141580000636,None,72.41566470000544,None,75.41495959999156,75.41495959999156,2,7.963341699971352,75.41495959999156,None,,,,,,,
