conditionFile,pair_nr,word,imageFromFolder,pnn,fs,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions_for_training.started,instructions_for_training.stopped,text.started,text.stopped,image.started,image.stopped,image2.started,image2.stopped,text2.started,text2.stopped,text_2.started,text_2.stopped,Distraction_text.started,Distraction_text.stopped,Instructions.started,Instructions.stopped,Word_cue.started,Word_cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
conditionsBatch1.csv,2,Derivata,brain2.jpg,neutral,face,0,0,0,0,0,0,0,1,,,,,37.54103789999499,None,43.67250830002013,46.17147050000494,47.19257149999612,49.70429620001232,50.672122100018896,53.52284280001186,50.672122100018896,53.52284280001186,54.67058820000966,None,,,,,,,5ytfv,001,2020_Dec_09_1030,DecodingEmotions,2020.2.8,59.86260335887241,
conditionsBatch1.csv,3,Carthago,smokingclown.jpg,negative,face,0,0,0,0,0,1,1,2,,,,,,,58.61936060001608,61.11885739999707,62.11923900002148,64.6181171000062,65.61863760001143,68.11740580000333,65.61863760001143,68.11740580000333,69.61784530000295,None,,,,,,,5ytfv,001,2020_Dec_09_1030,DecodingEmotions,2020.2.8,59.86260335887241,
conditionsBatch1.csv,1,Paradox,brain1.jpg,Positive,Scene,0,0,0,0,0,2,2,0,,,,,,,73.5834977000195,76.08240620000288,77.08275910001248,79.58187470000121,80.58203160000267,83.08102890002192,80.58203160000267,83.08102890002192,84.58183650000137,None,,,,,,,5ytfv,001,2020_Dec_09_1030,DecodingEmotions,2020.2.8,59.86260335887241,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.56437920001918,None,94.54682650000905,None,100.54447910000454,None,,,,,,,
